,questions,answers,title
0,What are the differences between 100 Experiments for Industry (100E4I) and 100 Experiments for Research (100E4R),"



 
100E4I
100E4R



Collaboration duration
 


9 months
 


18-24 months
 




Project duration
 


7 months
 


18-24 months
 



Who develops the AI Minimal Viable Model (MVM)?

AISG engineering team with Project Manager, AI Engineer/Mentor, AI Apprentices and supported by MLOps team.


Principle Investigator (PI) and team from A*STAR, NUS, NTU, SMU, SIT, SUSS or SUTD




 
 
Who owns the IP?
*Regardless of IP arrangements, any foreground IP resulting from the 100E will be retained for research purposes.


 
Solely owned by Project Sponsor.
 
 


 
At 30% cash contribution, IP is jointly owned (Tenants in Common) between Project Sponsor and the research institution where PI is from.
At 50% cash contribution, IP is solely owned by Project Sponsor.




 
AISG Grant


 
S$180,000.00 (includes IRC)


 
S$330,000.00 (includes IRC)




Cash & In-Kind Contributions by the Project Sponsor
 
 
 
 


 
Cash:
S$75,816 (includes IRC & GST)
 
 
 
In-Kind (manpower):
Minimum S$126,000.00


 
Cash:
Minimum 30%: S$99,000.00
IRC: stated by research institution
GST: Prevailing rate

In-Kind (manpower):
Minimum S$231,000.00




 
Which party receives the AISG grant and the cash contribution?


 
AISG.
Assemble the AI engineering team


 
PI.
Hire research and engineering team




IRC:  Indirect Research Costs ",100E
1,How does an organisation apply for the 100 Experiments (100E)?,"
AISG will provide the templates for an organisation to submit a proposal.
The proposal will be evaluated on:

Is it an AI use case?
Does the proposed AI solution create substantial business value or impact for the organisation and its stakeholders (employees, customers, partners, investors, etc)?
Is a commercial off-the-shelf solution available?
Is the AI technology available to produce the outcomes that the organisation expects?
Can the AI model(s) be developed within 7 months or 18 to 24 months?
Are there relevant and sufficient annotated data to train the AI model(s)?

 
Only companies with IT/R&D/Engineering teams in Singapore will be considered. ",100E
2,What are my responsibilities as a Project Sponsor?,"
To ensure a successful outcome from the 100E project, Project Sponsors are expected to have the following:

A clear problem statement and objective
Active contribution from the 3 key roles (Product Owner, Project Lead, Technical Lead)
Be able to provide the required datasets and
Be able to take over the solution for integration and deployment
 ",100E
3,Can I have AI apprentices on my project?,"
AI apprentices will be assigned for all 7-month 100E-Industry project. 
AI apprentices together with the AISG project manager and AI engineer/mentor from the AISG engineering team are also made available to the PI for the 18 to 24-month 100E-Research project. ",100E
4,Who can be the Principal Investigator (PI) or Co- Principal Investigator (Co-PI)?,"
The 100E PI (and Co-PI) has to be a full-time employee from an autonomous university or A*STAR. Full time is defined as at least 9 months of service a year or 75% appointment.
It is preferred that either the PI or Co-PI has research expertise in the required AI technology and/or technique. ",100E
5,How long does it take for my proposal to be approved?,"
The review of the proposal and the sample datasets typically require 2 months. 
One the proposal is ready, it is presented for approval at AISG's 100E approval committee. The committee meetings are scheduled about 7-8 times a year. ",100E
6,What if I do not have any datasets?,"
Datasets are fundamental to developing any deep-learning AI solution. It is preferred that the collection and annotation of data are completed before the commencement of the 100E, as these activities are not included in the scope of the 100E project. 
Volume of data required will be advised by the research team/ AISG engineering team based on the use case and technique used for the AI model development.
Have the correct datasets, is a good indication of the AI Readiness of the company. ",100E
7,When is the cash contribution required?,"
The total cash (including the Indirect Research Costs and GST) to be paid will be invoiced to the organisation upon the endorsement of the Research Collaboration Agreement (RCA) for the project. ",100E
8,What does 'in-kind contribution' mean?,"
Project Sponsor’s in-kind contributions comprise of the manpower assigned to the project. 
They provide the domain expertise required for the development of the AI solution. 
3 key roles are required: 

Product Owner
Project Lead
Technical Lead

These project members have to be employees of the Project Sponsor.  



Role
Function


Product Owner
Business lead who specifies the requirements of the AI solution


Project Lead
Project manager


Technical Lead
Technical engineer responsible for the integration, deployment and maintenance of the AI solution



Datasets (for training the AI models) and infrastructure for deployment or other non-manpower resources are not considered as in-kind contributions. ",100E
9,Who are the AI apprentices?,"


The AI apprentices are Singaporeans who have qualified for for a full-time 9-months programme known as the AI Apprenticeship Programme (AIAP).
The apprentices typically are graduates with a university degree, some will have Masters and a few may have a PhD. 
They come from all disciplines and career domain, have strong foundational knowledge in machine learning concepts, and have intermediate-level Python or R programming skills.
More information on the AIAP is provided here.


  ",100E
